ZONE_N,ZONE_C,SUBZONE_N,SUB_ZONE_C,AGE0-4,AGE5-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85
SEMBAWANG,SB,SEMBAWANG NORTH,SBSZ04,1500,1910,1930,1760,1500,1690,2030,2610,2590,2260,1960,1800,1440,880,490,330,170,140
SEMBAWANG,SB,SEMBAWANG SPRINGS,SBSZ02,190,290,370,380,340,320,230,330,480,500,450,300,260,180,160,110,90,110
SEMBAWANG,SB,SEMBAWANG STRAITS,SBSZ06,80,110,100,120,150,120,80,110,150,150,160,140,100,70,50,30,20,20
SEMBAWANG,SB,SENOKO NORTH,SBSZ08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMBAWANG,SB,SENOKO SOUTH,SBSZ09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMBAWANG,SB,THE WHARVES,SBSZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENGKANG,SE,ANCHORVALE,SESZ04,3320,3000,2690,2100,1610,2600,4160,3930,4090,2900,2140,2170,1770,1280,720,500,210,200
SENGKANG,SE,COMPASSVALE,SESZ05,2170,1820,1220,700,620,1220,2520,3060,2280,1190,930,810,800,650,370,260,120,70
SENGKANG,SE,FERNVALE,SESZ06,5490,4230,2730,2170,1810,2960,6340,6160,4460,3070,2590,2190,1830,1480,880,650,370,360
SENGKANG,SE,LORONG HALUS NORTH,SESZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SENGKANG,SE,RIVERVALE,SESZ02,3090,3560,3890,4240,4140,4290,4340,4800,5410,5020,4680,4670,3730,2470,1320,870,470,420
SENGKANG,SE,SENGKANG TOWN CENTRE,SESZ03,3590,3800,3570,3880,3730,4640,5180,5640,5070,4790,4540,4140,3220,2120,1160,800,490,430
SENGKANG,SE,SENGKANG WEST,SESZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERANGOON,SG,LORONG CHUAN,SGSZ05,320,420,500,620,650,630,390,450,610,700,750,710,560,390,250,200,140,150
SERANGOON,SG,SELETAR HILLS,SGSZ01,510,610,700,950,1100,1140,670,770,930,1010,1130,1150,1070,890,520,410,250,220
SERANGOON,SG,SERANGOON CENTRAL,SGSZ06,780,890,1080,1310,1550,2260,1820,1540,1780,1840,1850,2330,2380,1760,960,770,410,350
SERANGOON,SG,SERANGOON GARDEN,SGSZ04,1120,1400,1680,2160,2620,2950,2280,2200,2480,2620,2900,3300,3340,2680,1620,1190,810,780
SERANGOON,SG,SERANGOON NORTH,SGSZ03,550,750,920,1190,1500,1250,960,1100,1110,1290,1580,1410,1270,800,410,290,160,130
SERANGOON,SG,SERANGOON NORTH IND ESTATE,SGSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERANGOON,SG,UPPER PAYA LEBAR,SGSZ07,560,700,720,860,1100,1490,1010,1090,1110,1110,1190,1460,1330,1020,550,460,250,230
SIMPANG,SM,PULAU SELETAR,SMSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPANG,SM,SIMPANG NORTH,SMSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPANG,SM,SIMPANG SOUTH,SMSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMPANG,SM,TANJONG IRAU,SMSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE RIVER,SR,BOAT QUAY,SRSZ03,10,0,10,0,0,0,10,10,20,10,10,10,10,10,10,10,0,10
SINGAPORE RIVER,SR,CLARKE QUAY,SRSZ02,10,0,0,10,0,10,10,20,10,20,10,10,0,0,0,0,0,10
SINGAPORE RIVER,SR,ROBERTSON QUAY,SRSZ01,210,200,130,90,90,100,170,360,370,330,170,130,100,80,50,40,10,10
SOUTHERN ISLANDS,SI,SENTOSA,SISZ01,110,100,90,100,80,80,80,150,170,220,190,140,90,50,20,10,10,0
SOUTHERN ISLANDS,SI,SOUTHERN GROUP,SISZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STRAITS VIEW,SV,STRAITS VIEW,SVSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,SK,GALI BATU,SKSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,SK,KRANJI,SKSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,SK,PANG SUA,SKSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,SK,RESERVOIR VIEW,SKSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,SK,TURF CLUB,SKSZ02,30,30,20,40,50,50,40,40,40,60,50,50,40,50,30,30,20,10
TAMPINES,TM,SIMEI,TMSZ04,1760,1980,2060,2560,3040,3240,2560,3180,3210,3050,3290,3550,2880,2100,1040,780,460,450
TAMPINES,TM,TAMPINES EAST,TMSZ02,5710,5890,6350,8350,11040,11330,9390,9170,8690,9450,11490,12140,10640,7180,3640,2650,1610,1320
TAMPINES,TM,TAMPINES NORTH,TMSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMPINES,TM,TAMPINES WEST,TMSZ03,3710,3740,3910,4940,6030,6840,5710,5480,5440,5600,6350,6800,5870,3960,2010,1380,840,670
TAMPINES,TM,XILIN,TMSZ05,40,60,80,150,190,150,90,70,110,120,230,200,140,80,40,20,20,10
TANGLIN,TN,CHATSWORTH,TNSZ02,350,410,330,280,260,270,440,620,720,690,480,380,310,290,190,140,70,70
TANGLIN,TN,NASSIM,TNSZ01,500,750,580,490,430,430,410,710,920,830,760,600,520,490,270,190,110,130
TANGLIN,TN,RIDOUT,TNSZ03,70,70,80,70,80,80,70,90,110,120,90,100,100,80,60,30,30,30
TANGLIN,TN,TYERSALL,TNSZ04,160,210,190,220,200,200,180,230,290,330,320,280,240,190,130,110,60,60
TENGAH,TH,TENGAH,THSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOA PAYOH,TP,BIDADARI,TPSZ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOA PAYOH,TP,BOON TECK,TPSZ04,500,580,660,750,870,910,720,790,920,1010,1150,1220,1150,870,740,680,430,390
TOA PAYOH,TP,BRADDELL,TPSZ03,390,440,510,540,670,690,610,670,720,800,820,800,780,630,420,440,230,250
TOA PAYOH,TP,JOO SENG,TPSZ12,300,380,340,350,420,560,500,590,660,560,540,570,530,430,280,250,150,140
TOA PAYOH,TP,KIM KEAT,TPSZ07,240,310,310,380,540,670,510,550,570,610,650,770,690,590,400,330,190,150
TOA PAYOH,TP,LORONG 8 TOA PAYOH,TPSZ05,210,270,280,390,490,500,420,450,560,590,610,690,560,570,380,390,230,190
TOA PAYOH,TP,PEI CHUN,TPSZ06,350,460,550,630,610,630,570,710,890,970,980,910,790,670,510,510,290,220
TOA PAYOH,TP,POTONG PASIR,TPSZ09,400,460,480,510,620,830,790,830,960,930,890,950,1090,990,560,390,220,160
TOA PAYOH,TP,SENNETT,TPSZ11,180,220,240,280,310,360,280,330,350,310,340,390,380,310,220,170,110,180
TOA PAYOH,TP,TOA PAYOH CENTRAL,TPSZ02,1550,1610,1430,1410,1650,1720,1970,2550,2640,2340,2180,2090,1760,1530,1070,1040,620,550
TOA PAYOH,TP,TOA PAYOH WEST,TPSZ01,380,450,480,580,650,870,750,840,1030,960,1040,1050,920,870,660,690,380,330
TOA PAYOH,TP,WOODLEIGH,TPSZ08,120,150,160,140,160,160,150,200,230,230,170,170,160,110,50,30,20,20
TUAS,TS,TENGEH,TSSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS,TS,TUAS BAY,TSSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS,TS,TUAS NORTH,TSSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS,TS,TUAS PROMENADE,TSSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS,TS,TUAS VIEW,TSSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUAS,TS,TUAS VIEW EXTENSION,TSSZ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN ISLANDS,WI,JURONG ISLAND AND BUKOM,WISZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN ISLANDS,WI,SEMAKAU,WISZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN ISLANDS,WI,SUDONG,WISZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN WATER CATCHMENT,WC,WESTERN WATER CATCHMENT,WCSZ01,40,40,30,40,50,40,60,70,80,60,50,60,50,10,10,10,10,20
WOODLANDS,WD,GREENWOOD PARK,WDSZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODLANDS,WD,MIDVIEW,WDSZ02,1830,1840,2170,3260,3610,3050,2600,2330,2390,3190,3450,2600,1820,1080,600,490,270,230
WOODLANDS,WD,NORTH COAST,WDSZ09,440,460,600,870,1110,1070,820,840,840,1000,1240,1210,990,800,500,340,200,120
WOODLANDS,WD,SENOKO WEST,WDSZ08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODLANDS,WD,WOODGROVE,WDSZ05,1240,1580,2060,3000,3620,2920,2060,2210,2530,3230,3480,2710,2050,1220,630,460,310,260
WOODLANDS,WD,WOODLANDS EAST,WDSZ03,4590,5320,6330,7520,7330,6820,6510,7320,8090,8420,7950,6500,4500,2790,1390,1010,550,420
WOODLANDS,WD,WOODLANDS REGIONAL CENTRE,WDSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOODLANDS,WD,WOODLANDS SOUTH,WDSZ04,2250,2740,2750,3070,2630,2530,2980,3490,3380,3370,2790,2330,1730,1240,700,440,230,160
WOODLANDS,WD,WOODLANDS WEST,WDSZ06,1310,1380,1510,2120,2790,2650,2140,1960,1990,2320,2850,2840,2370,1570,920,740,410,280
YISHUN,YS,KHATIB,YSSZ08,330,380,420,530,790,1020,690,670,680,710,970,1090,870,660,330,220,130,100
YISHUN,YS,LOWER SELETAR,YSSZ05,1320,750,620,500,460,1200,1440,970,810,670,490,410,260,200,110,60,40,30
YISHUN,YS,NEE SOON,YSSZ07,40,50,50,50,50,60,50,50,90,80,90,70,60,40,30,20,20,10
YISHUN,YS,NORTHLAND,YSSZ02,1130,1270,1500,1860,2250,2550,2050,2070,2140,2220,2520,2850,2170,1530,740,580,280,220
YISHUN,YS,SPRINGLEAF,YSSZ06,140,160,250,270,350,360,180,220,260,270,300,370,300,270,190,100,40,50
YISHUN,YS,YISHUN CENTRAL,YSSZ01,50,50,40,80,140,130,90,100,80,70,130,140,130,80,60,30,20,10
YISHUN,YS,YISHUN EAST,YSSZ03,5040,3800,2760,3080,3390,4500,6540,5610,4210,3560,4050,3690,2940,2030,1030,660,410,260
YISHUN,YS,YISHUN SOUTH,YSSZ04,1350,1530,1830,2130,2800,3500,2530,2560,2770,2750,3320,3440,2940,2040,1090,820,460,390
YISHUN,YS,YISHUN WEST,YSSZ09,2170,2430,2800,3370,3650,4460,3880,4190,4450,4480,4990,4890,4310,3010,1770,1290,740,590
