ZONE_N,ZONE_C,SUBZONE_N,SUB_ZONE_C,AGE0-4,AGE5-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85
DOWNTOWN CORE,DT,ANSON,DTSZ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,BAYFRONT SUBZONE,DTSZ12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,BUGIS,DTSZ01,10,20,20,30,40,50,60,60,70,70,70,50,60,80,40,40,20,30
DOWNTOWN CORE,DT,CECIL,DTSZ08,20,10,10,10,10,10,30,30,40,20,10,10,10,10,0,0,0,0
DOWNTOWN CORE,DT,CENTRAL SUBZONE,DTSZ11,40,20,20,20,20,50,60,90,80,70,40,50,30,20,10,0,0,0
DOWNTOWN CORE,DT,CITY HALL,DTSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,CLIFFORD PIER,DTSZ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,MARINA CENTRE,DTSZ03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,MAXWELL,DTSZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,PHILLIP,DTSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,RAFFLES PLACE,DTSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOWNTOWN CORE,DT,TANJONG PAGAR,DTSZ09,30,10,10,10,20,40,80,90,70,50,50,30,30,20,10,0,10,40
GEYLANG,GL,ALJUNIED,GLSZ04,1360,1680,1680,1850,2200,2860,2740,2850,3340,3080,3140,3250,3030,2480,1490,1310,830,820
GEYLANG,GL,GEYLANG EAST,GLSZ05,1350,1490,1450,1590,1900,2340,2060,2560,2550,2300,2330,2380,2370,2090,1300,940,620,520
GEYLANG,GL,KALLANG WAY,GLSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEYLANG,GL,KAMPONG UBI,GLSZ03,440,490,620,700,950,1230,900,890,830,830,970,1200,1060,700,370,220,110,90
GEYLANG,GL,MACPHERSON,GLSZ02,1130,1060,1270,1510,1780,2090,1900,1760,1890,2140,2430,2510,2150,1650,1080,1080,680,570
HOUGANG,HG,DEFU INDUSTRIAL PARK,HGSZ09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUGANG,HG,HOUGANG CENTRAL,HGSZ01,120,170,240,320,390,430,270,270,280,390,420,450,350,250,140,110,90,70
HOUGANG,HG,HOUGANG EAST,HGSZ03,1430,1050,1040,1320,1810,2380,2300,2000,1680,1530,1980,2090,1640,1130,630,410,230,200
HOUGANG,HG,HOUGANG WEST,HGSZ04,1360,1580,1890,2610,3720,4310,3090,2860,2950,3220,4240,4810,4090,2890,1580,1050,630,480
HOUGANG,HG,KANGKAR,HGSZ02,1560,1360,1490,1700,1760,2230,2510,2160,2410,2250,2340,2320,2120,1570,930,760,430,310
HOUGANG,HG,KOVAN,HGSZ06,970,1170,1340,1640,1880,2130,1490,1630,2010,2000,1950,2110,1940,1400,820,680,340,390
HOUGANG,HG,LORONG AH SOO,HGSZ07,1030,1210,1550,1880,2090,2370,2070,2160,2480,2420,2720,2690,2670,2150,1350,1040,600,510
HOUGANG,HG,LORONG HALUS,HGSZ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOUGANG,HG,TAI SENG,HGSZ08,460,660,730,900,1040,1060,830,810,960,1060,1150,1200,1110,860,470,440,300,270
HOUGANG,HG,TRAFALGAR,HGSZ05,1720,2150,2420,2990,3270,3050,2640,2890,3380,3550,3960,3900,3150,2170,1170,810,470,430
JURONG EAST,JE,INTERNATIONAL BUSINESS PARK,JESZ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG EAST,JE,JURONG GATEWAY,JESZ05,10,10,20,20,10,20,30,20,30,30,20,10,10,0,0,0,0,0
JURONG EAST,JE,JURONG PORT,JESZ09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG EAST,JE,JURONG RIVER,JESZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG EAST,JE,LAKESIDE,JESZ04,30,30,30,30,50,70,80,60,70,80,60,60,70,90,50,50,20,10
JURONG EAST,JE,PENJURU CRESCENT,JESZ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG EAST,JE,TEBAN GARDENS,JESZ08,1000,960,940,1060,1130,1420,1500,1510,1470,1350,1410,1410,1440,1420,810,490,250,200
JURONG EAST,JE,TOH GUAN,JESZ03,580,710,830,1000,1170,1400,1050,1120,1150,1210,1270,1440,1290,800,350,240,140,120
JURONG EAST,JE,YUHUA EAST,JESZ02,820,960,1240,1420,1630,2020,1820,1880,1940,1950,2000,2140,2190,1810,1040,730,390,350
JURONG EAST,JE,YUHUA WEST,JESZ01,760,860,1030,1250,1340,1670,1300,1290,1510,1540,1570,1700,1650,1280,630,530,270,240
JURONG WEST,JW,BOON LAY PLACE,JWSZ02,1790,1800,1660,1850,1940,2140,2610,2340,2280,2340,2290,2090,1680,1390,830,570,300,210
JURONG WEST,JW,CHIN BEE,JWSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG WEST,JW,HONG KAH,JWSZ03,1990,2390,2890,3330,3570,4330,3720,4010,4310,4260,4210,4270,4480,3460,1900,1230,630,460
JURONG WEST,JW,JURONG WEST CENTRAL,JWSZ09,3500,4580,4470,4020,3760,4930,5260,6940,6660,5490,4520,4340,3920,2630,1200,720,390,300
JURONG WEST,JW,KIAN TECK,JWSZ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG WEST,JW,SAFTI,JWSZ07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JURONG WEST,JW,TAMAN JURONG,JWSZ04,1970,2030,2130,2530,2680,2660,2740,2980,2840,3170,2970,2630,2250,1690,890,620,360,260
JURONG WEST,JW,WENYA,JWSZ01,590,740,630,440,360,470,740,1090,880,660,480,430,390,300,150,110,60,60
JURONG WEST,JW,YUNNAN,JWSZ08,2420,3140,3970,5010,6310,5770,4170,4850,5190,5400,6300,5320,4350,3140,1560,950,510,380
KALLANG,KL,BENDEMEER,KLSZ01,1640,1560,1410,1460,1640,2410,2680,3090,2910,2600,2330,2520,2500,2260,1380,1170,700,610
KALLANG,KL,BOON KENG,KLSZ03,510,460,470,550,610,820,860,900,890,930,920,1010,930,850,540,510,290,280
KALLANG,KL,CRAWFORD,KLSZ09,280,290,300,350,410,500,470,490,560,650,750,920,810,820,580,540,330,300
KALLANG,KL,GEYLANG BAHRU,KLSZ02,380,450,540,630,680,730,670,830,980,1000,1080,1020,910,780,550,500,320,280
KALLANG,KL,KALLANG BAHRU,KLSZ08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KALLANG,KL,KAMPONG BUGIS,KLSZ04,20,20,30,40,60,80,70,60,70,40,60,70,100,70,30,20,10,10
KALLANG,KL,KAMPONG JAVA,KLSZ07,390,490,480,500,550,690,660,780,950,900,810,790,750,760,490,410,230,230
